id,Predicted
592380,0.55281496
592381,0.32702282
592382,0.3510639
592383,0.4306183
592384,0.41643384
592385,0.4180544
592386,0.41658545
592387,0.41750726
592388,0.30705532
592389,0.42166772
592390,0.4221933
592391,0.38812315
592392,0.49079606
592393,0.5610792
592394,0.49238905
592395,0.41324735
592396,0.6008784
592397,0.35355604
592398,0.37352994
592399,0.5893259
592400,0.34729585
592401,0.44531927
592402,0.41630414
592403,0.50203824
592404,0.45299718
592405,0.34601605
592406,0.3680017
592407,0.4308116
592408,0.40438834
592409,0.36741158
592410,0.41971543
592411,0.4778078
592412,0.35911378
592413,0.55085826
592414,0.32666826
592415,0.4263323
592416,0.43853602
592417,0.6035927
592418,0.46381631
592419,0.3413537
592420,0.3230835
592421,0.43229416
592422,0.36742246
592423,0.42471585
592424,0.3456868
592425,0.4411873
592426,0.6003356
592427,0.54605395
592428,0.386219
592429,0.31908116
592430,0.3199802
592431,0.67246544
592432,0.56517774
592433,0.43484986
592434,0.39337778
592435,0.4332763
592436,0.4773146
592437,0.42305276
592438,0.39198002
592439,0.45672712
592440,0.38907954
592441,0.49375483
592442,0.46602365
592443,0.5532769
592444,0.36569118
592445,0.4059054
592446,0.42207974
592447,0.16465503
592448,0.3445974
592449,0.46025112
592450,0.52869874
592451,0.3451355
592452,0.43712974
592453,0.5224794
592454,0.4243572
592455,0.34791756
592456,0.36128187
592457,0.33926162
592458,0.44364887
592459,0.37740248
592460,0.36929244
592461,0.40428856
592462,0.36090812
592463,0.5349809
592464,0.85974556
592465,0.3362225
592466,0.3748066
592467,0.35955942
592468,0.61711895
592469,0.32027394
592470,0.24679446
592471,0.2232808
592472,0.56948566
592473,0.2651115
592474,0.5255203
592475,0.5486166
592476,0.43759677
592477,0.40248856
592478,0.54361683
592479,0.45934573
592480,0.46901408
592481,0.45861274
592482,0.44484594
592483,0.42444858
592484,0.27061456
592485,0.36325172
592486,0.31297338
592487,0.48687586
592488,0.4704815
592489,0.38391665
592490,0.45048377
592491,0.48310935
592492,0.27588353
592493,0.50321
592494,0.44630885
592495,0.41994536
592496,0.45366794
592497,0.3870453
592498,0.53613645
592499,0.61646694
592500,0.41371486
592501,0.33579823
592502,0.36212337
592503,0.23126356
592504,0.59362745
592505,0.4512618
592506,0.30527142
592507,0.31529114
592508,0.4317501
592509,0.27559736
592510,0.2921647
592511,0.38780382
592512,0.6609383
592513,0.44206202
592514,0.4233998
592515,0.32909057
592516,0.3838118
592517,0.041852355
592518,0.42152506
592519,0.57166773
592520,0.39715818
592521,0.6254862
592522,0.41150486
592523,0.32595852
592524,0.5922317
592525,0.32212856
592526,0.4201639
592527,0.36282563
592528,0.29958746
592529,0.34623188
592530,0.49722967
592531,0.5684089
592532,0.3885206
592533,0.36259755
592534,0.4856251
592535,0.36781636
592536,0.32745567
592537,0.55979973
592538,0.42710152
592539,0.24908505
592540,0.17557234
592541,0.3340415
592542,0.3781551
592543,0.3990609
592544,0.24328701
592545,0.41788635
592546,0.48866275
592547,0.52371985
592548,0.3890885
592549,0.48550764
592550,0.2700928
592551,0.40466002
592552,0.43153092
592553,0.4418326
592554,0.3226125
592555,0.3051477
592556,0.5934103
592557,0.27792057
592558,0.3449113
592559,0.46665758
592560,0.55562365
592561,0.45563507
592562,0.5027031
592563,0.47169173
592564,0.52611625
592565,0.3367477
592566,0.430413
592567,0.4099646
592568,0.3376767
592569,0.3928178
592570,0.40426832
592571,0.3333976
592572,0.46927246
592573,0.13846967
592574,0.5481936
592575,0.30726108
592576,0.35149646
592577,0.33748284
592578,0.5819585
592579,0.3182738
592580,0.4063645
592581,0.15293461
592582,0.401881
592583,0.48780337
592584,0.47887212
592585,0.48469144
592586,0.45285705
592587,0.19508484
592588,0.3060729
592589,0.323125
592590,0.4861091
592591,0.59595376
592592,0.47043523
592593,0.37054184
592594,0.6922799
592595,0.38559636
592596,0.2592731
592597,0.3489372
592598,0.38581446
592599,0.4300217
592600,0.23424211
592601,0.38830316
592602,0.37580192
592603,0.42218652
592604,0.38598537
592605,0.37298504
592606,0.36418095
592607,0.50688046
592608,0.4343665
592609,0.4963452
592610,0.4664292
592611,0.3130017
592612,0.26395732
592613,0.30881727
592614,0.49174938
592615,0.46611267
592616,0.4613087
592617,0.46967894
592618,0.3356071
592619,0.29066455
592620,0.4643531
592621,0.3359086
592622,0.38666555
592623,0.63565814
592624,0.39392316
592625,0.25678024
592626,0.41033307
592627,0.34349498
592628,0.21124905
592629,0.28129324
592630,0.29231447
592631,0.43945864
592632,0.63788795
592633,0.40745267
592634,0.28703102
592635,0.2833905
592636,0.34884995
592637,0.35311916
592638,0.3659629
592639,0.3596438
592640,0.48896575
592641,0.29870015
592642,0.4145882
592643,0.45814654
592644,0.32843733
592645,0.39669168
592646,0.59346795
592647,0.47175846
592648,0.41016266
592649,0.26022157
592650,0.6807464
592651,0.45934263
592652,0.40016034
592653,0.40269166
592654,0.48809564
592655,0.3306249
592656,0.5157211
592657,0.4806714
592658,0.3320524
592659,0.11843725
592660,0.36645845
