id,Predicted
592380,0.4669413
592381,0.110325105
592382,0.32536
592383,0.32342792
592384,0.46319243
592385,0.2548182
592386,0.19376127
592387,0.3623075
592388,0.18942928
592389,0.35412914
592390,0.26930457
592391,0.22646631
592392,0.45750636
592393,0.42342338
592394,0.4989406
592395,0.3145186
592396,0.39163417
592397,0.08642696
592398,0.06348426
592399,0.4636768
592400,0.07565435
592401,0.41453514
592402,0.30088824
592403,0.37551293
592404,0.080399655
592405,0.27332392
592406,0.23032165
592407,0.28277937
592408,0.17064416
592409,0.15102166
592410,0.35255358
592411,0.38755563
592412,0.09385166
592413,0.40212208
592414,0.111702986
592415,0.33895975
592416,0.25830007
592417,0.48451716
592418,0.38479823
592419,0.1663139
592420,0.073650725
592421,0.3623075
592422,0.20948991
592423,0.29360476
592424,0.18442632
592425,0.3300469
592426,0.8065431
592427,0.3623075
592428,0.4574474
592429,0.20532891
592430,0.13857675
592431,0.44107574
592432,0.41648883
592433,0.30338612
592434,0.24427779
592435,0.20996514
592436,0.44961655
592437,0.22971967
592438,0.26578704
592439,0.29515707
592440,0.17547081
592441,0.2846879
592442,0.31922
592443,0.3819791
592444,0.10042609
592445,0.31822896
592446,0.23568925
592447,0.082579926
592448,0.12095971
592449,0.43271744
592450,0.3623075
592451,0.11365551
592452,0.27576712
592453,0.3623075
592454,0.12472472
592455,0.23177058
592456,0.2893941
592457,0.11372655
592458,0.3623075
592459,0.09935609
592460,0.28032184
592461,0.3261729
592462,0.06316078
592463,0.4410249
592464,0.6335934
592465,0.26256892
592466,0.25562382
592467,0.20168915
592468,0.5549947
592469,0.2729789
592470,0.06872656
592471,0.20704006
592472,0.38359323
592473,0.20183395
592474,0.32684964
592475,0.36500934
592476,0.44966468
592477,0.2485188
592478,0.40124494
592479,0.3623075
592480,0.33619866
592481,0.2112114
592482,0.3277685
592483,0.3623075
592484,0.11349297
592485,0.047855776
592486,0.26512784
592487,0.42111918
592488,0.24014369
592489,0.29497594
592490,0.31004748
592491,0.3394626
592492,0.2071168
592493,0.3623075
592494,0.32657132
592495,0.23853542
592496,0.38235494
592497,0.3623075
592498,0.38861153
592499,0.5124827
592500,0.3623075
592501,0.15266427
592502,0.3275564
592503,0.17928956
592504,0.46881762
592505,0.40194425
592506,0.35494262
592507,0.07626398
592508,0.3810041
592509,0.28910795
592510,0.28220588
592511,0.2797682
592512,0.7818808
592513,0.32741404
592514,0.17446487
592515,0.31369546
592516,0.08022254
592517,0.0144285355
592518,0.2506029
592519,0.33898568
592520,0.3672393
592521,0.5741603
592522,0.1938618
592523,0.22975951
592524,0.51466286
592525,0.15612438
592526,0.27290466
592527,0.3623075
592528,0.17877208
592529,0.26466438
592530,0.36290795
592531,0.3623075
592532,0.07707256
592533,0.14749633
592534,0.3623075
592535,0.30379787
592536,0.28594425
592537,0.40072307
592538,0.39477193
592539,0.01742787
592540,0.040731467
592541,0.205536
592542,0.18946195
592543,0.21425426
592544,0.08108366
592545,0.1642526
592546,0.45683396
592547,0.42600444
592548,0.2970304
592549,0.51386356
592550,0.12175122
592551,0.28007194
592552,0.26983923
592553,0.3328352
592554,0.05021964
592555,0.32777527
592556,0.59603566
592557,0.17500462
592558,0.24154936
592559,0.26145053
592560,0.5276506
592561,0.3623075
592562,0.5484849
592563,0.3623075
592564,0.34848103
592565,0.099645756
592566,0.16126558
592567,0.29508018
592568,0.10102334
592569,0.11080672
592570,0.36583203
592571,0.116923995
592572,0.26840672
592573,0.1886377
592574,0.5822252
592575,0.089004435
592576,0.14147526
592577,0.15188481
592578,0.33935654
592579,0.2515473
592580,0.25845605
592581,0.021673061
592582,0.21913362
592583,0.2752978
592584,0.37418115
592585,0.26927194
592586,0.35197845
592587,0.07244155
592588,0.31676713
592589,0.06047513
592590,0.3357639
592591,0.43161857
592592,0.38651896
592593,0.1044042
592594,0.46077985
592595,0.11087491
592596,0.040852927
592597,0.33903596
592598,0.23139662
592599,0.24631879
592600,0.08361166
592601,0.18717779
592602,0.29531288
592603,0.17942068
592604,0.21821053
592605,0.22142692
592606,0.19219889
592607,0.38635615
592608,0.2775059
592609,0.31399447
592610,0.29564956
592611,0.22008792
592612,0.09142938
592613,0.1655469
592614,0.3846087
592615,0.34974578
592616,0.3623075
592617,0.32647622
592618,0.18660672
592619,0.28530884
592620,0.3921234
592621,0.08918484
592622,0.28629383
592623,0.53373677
592624,0.19488417
592625,0.11310661
592626,0.263012
592627,0.23187461
592628,0.15439712
592629,0.26660305
592630,0.034048118
592631,0.27655533
592632,0.41085854
592633,0.3001992
592634,0.30008617
592635,0.050854217
592636,0.3623075
592637,0.19000736
592638,0.28181383
592639,0.3623075
592640,0.42045552
592641,0.1522575
592642,0.2991265
592643,0.20298037
592644,0.16333866
592645,0.15346691
592646,0.45523342
592647,0.19023006
592648,0.42782277
592649,0.11514282
592650,0.49427074
592651,0.15246117
592652,0.21198916
592653,0.3623075
592654,0.42345136
592655,0.21819365
592656,0.37715498
592657,0.40583903
592658,0.27570367
592659,0.0076988814
592660,0.30049506
592661,0.30370978
592662,0.13484168
592663,0.089935005
592664,0.57221603
592665,0.11955184
592666,0.19873896
592667,0.316943
592668,0.54529244
592669,0.2604661
592670,0.39819446
592671,0.043137383
592672,0.43588653
592673,0.02011839
592674,0.37046826
592675,0.36610532
592676,0.33919835
592677,0.1261393
592678,0.19650315
592679,0.2691697
592680,0.312352
592681,0.15423438
592682,0.29392698
592683,0.37757474
592684,0.3832102
592685,0.3623075
592686,0.40830362
592687,0.39317468
592688,0.10629731
592689,0.5109708
592690,0.3826968
592691,0.19809234
592692,0.26284394
592693,0.3815675
592694,0.056583047
592695,0.19395852
592696,0.102862604
592697,0.36176166
592698,0.05119653
592699,0.26021922
592700,0.26510936
592701,0.3623075
592702,0.288658
592703,0.26070255
592704,0.19304115
592705,0.2472026
592706,0.34838006
592707,0.13101287
592708,0.40505984
592709,0.09157597
592710,0.30691415
592711,0.26875493
592712,0.20393553
592713,0.16623336
592714,0.15367313
592715,0.2827295
592716,0.37084034
592717,0.14810558
592718,0.051641494
592719,0.15271379
592720,0.047033336
592721,0.24200448
592722,0.14135495
592723,0.30911788
592724,0.38143763
592725,0.12564452
592726,0.16436934
592727,0.2894439
592728,0.22543769
592729,0.33336645
592730,0.32523713
592731,0.2906381
592732,0.009368263
592733,0.085994326
592734,0.047560196
592735,0.37571782
592736,0.21256231
592737,0.30233914
592738,0.3725112
592739,0.37302724
592740,0.26111746
592741,0.1651896
592742,0.31835255
592743,0.14037192
592744,0.17153428
592745,0.32056272
592746,0.26207286
592747,0.27041718
592748,0.3143563
592749,0.30270207
592750,0.1735192
592751,0.33558407
592752,0.2971759
592753,0.33895785
592754,0.06408383
592755,0.5224748
592756,0.2392526
592757,0.3392948
592758,0.3623075
592759,0.34088138
592760,0.10807111
592761,0.14925183
592762,0.36560702
592763,0.19620585
592764,0.26361606
592765,0.22517681
592766,0.24078074
592767,0.3655703
592768,0.28308016
592769,0.30580837
592770,0.3623075
592771,0.11483258
592772,0.13259652
592773,0.51323694
592774,0.16752906
592775,0.03626404
592776,0.3264504
592777,0.35943225
592778,0.3623075
592779,0.10205956
592780,0.43441817
592781,0.4571285
592782,0.21352498
592783,0.37645718
592784,0.3623075
592785,0.16665871
592786,0.25796553
592787,0.3623075
592788,0.32000428
592789,0.39857632
592790,0.2566527
592791,0.37648982
592792,0.1270602
592793,0.27587506
592794,0.09388675
592795,0.28615177
592796,0.3623075
592797,0.4080644
592798,0.23805802
592799,0.28923926
592800,0.3623075
592801,0.10451137
592802,0.012308222
592803,0.16840513
592804,0.3602247
592805,0.17067596
592806,0.18515873
592807,0.13739678
592808,0.52180165
592809,0.22002514
592810,0.3723004
592811,0.3623075
592812,0.34642592
592813,0.3050312
592814,0.32527795
592815,0.5354685
592816,0.06990915
592817,0.4032693
592818,0.2254074
592819,0.23429208
592820,0.2883799
592821,0.30871895
592822,0.33325216
592823,0.35865888
592824,0.34392333
592825,0.3039226
592826,0.3623075
592827,0.045648992
592828,0.20168006
592829,0.56533486
592830,0.38754395
592831,0.30760422
592832,0.14584151
592833,0.22587976
592834,0.41246217
592835,0.28091216
592836,0.30213168
592837,0.055202737
592838,0.5381582
592839,0.4401858
592840,0.39246282
592841,0.26987678
592842,0.36345905
592843,0.110725515
592844,0.18659475
592845,0.3623075
592846,0.39324024
592847,0.35700175
592848,0.23760918
592849,0.19551319
592850,0.3227386
592851,0.1195012
592852,0.33077842
592853,0.34038034
592854,0.050236132
592855,0.19502924
592856,0.19218922
592857,0.68524617
592858,0.24086966
592859,0.20642579
592860,0.33053198
592861,0.24785309
592862,0.18389927
592863,0.40426335
592864,0.48857772
592865,0.3623075
592866,0.15116201
592867,0.06726384
592868,0.07877173
592869,0.47243017
592870,0.28161663
592871,0.17395163
592872,0.038864184
592873,0.25648367
592874,0.3623075
592875,0.19117028
592876,0.053445503
592877,0.070116594
592878,0.033400387
592879,0.16097796
592880,0.40270317
592881,0.4102917
592882,0.4853016
592883,0.3623075
592884,0.29634812
592885,0.21919379
592886,0.010101738
592887,0.31336877
592888,0.16792686
592889,0.20464596
592890,0.15770459
592891,0.24242082
592892,0.264916
592893,0.24113077
592894,0.42902225
592895,0.32397056
592896,0.36520696
592897,0.3623075
592898,0.40075657
592899,0.19928534
592900,0.5027351
592901,0.6942091
592902,0.1221147
592903,0.4711926
592904,0.22377828
592905,0.4104387
592906,0.20514934
592907,0.41419244
592908,0.23695555
592909,0.3623075
592910,0.34577575
592911,0.54569125
592912,0.24875323
592913,0.27793217
592914,0.39039782
592915,0.25761884
592916,0.37366298
592917,0.32536468
592918,0.05885107
592919,0.37237072
592920,0.4156383
592921,0.0514547
592922,0.35353026
592923,0.37158313
592924,0.3623075
592925,0.38227844
592926,0.0439889
592927,0.49304047
592928,0.09013426
592929,0.25890744
592930,0.07689486
592931,0.21542688
592932,0.3409671
592933,0.30545536
592934,0.1511471
592935,0.3623075
592936,0.22489864
592937,0.12604351
592938,0.36133242
592939,0.10158249
592940,0.15993254
592941,0.47079048
592942,0.16108999
592943,0.5788678
592944,0.30400363
592945,0.17202143
592946,0.09388403
592947,0.22866552
592948,0.172679
592949,0.10610991
592950,0.3431602
592951,0.3623075
592952,0.10090447
592953,0.2687439
592954,0.5824209
592955,0.1528663
592956,0.19294068
592957,0.29629955
592958,0.24648316
592959,0.037559744
592960,0.13739158
592961,0.11488602
592962,0.1957689
592963,0.2474992
592964,0.23857965
592965,0.17528343
592966,0.6509818
592967,0.21509576
592968,0.35014367
592969,0.4140015
592970,0.1566089
592971,0.19465046
592972,0.16952018
592973,0.33701637
592974,0.13273355
592975,0.31076005
592976,0.4565478
592977,0.2636405
592978,0.3288761
592979,0.37635046
592980,0.15899467
592981,0.50599277
592982,0.22635765
592983,0.21410337
592984,0.20925656
592985,0.04460272
592986,0.2820646
592987,0.078974165
592988,0.2881709
592989,0.3623075
592990,0.7633635
592991,0.14077899
592992,0.8079273
592993,0.37540692
592994,0.19153666
